"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/06/2022","AQS","550270001","1","0.3","ppm","3","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"03/07/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","9","38.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"03/08/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","10","42.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"03/09/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"03/10/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"03/11/2022","AQS","550270001","1","0.3","ppm","3","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"03/12/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"03/13/2022","AQS","550270001","1","0.3","ppm","3","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"03/14/2022","AQS","550270001","1","0.3","ppm","3","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"03/15/2022","AQS","550270001","1","0.3","ppm","3","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"03/16/2022","AQS","550270001","1","0.3","ppm","3","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"03/17/2022","AQS","550270001","1","0.3","ppm","3","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"03/18/2022","AQS","550270001","1","0.3","ppm","3","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"03/19/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"03/20/2022","AQS","550270001","1","0.3","ppm","3","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"03/21/2022","AQS","550270001","1","0.3","ppm","3","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"03/22/2022","AQS","550270001","1","0.3","ppm","3","HORICON WILDLIFE AREA","20","83.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"03/23/2022","AQS","550270001","1","0.3","ppm","3","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"03/24/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"03/25/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"03/26/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"03/27/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"03/28/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"03/29/2022","AQS","550270001","1","0.3","ppm","3","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"03/30/2022","AQS","550270001","1","0.3","ppm","3","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"03/31/2022","AQS","550270001","1","0.3","ppm","3","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"04/01/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"04/02/2022","AQS","550270001","1","0.3","ppm","3","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"04/03/2022","AQS","550270001","1","0.3","ppm","3","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"04/04/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"04/05/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","16","67.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"04/06/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"04/07/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"04/08/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"04/09/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"04/10/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"04/11/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"04/12/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","21","88.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"04/13/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"04/14/2022","AQS","550270001","1","0.1","ppm","1","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"04/15/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"04/16/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"04/17/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"04/18/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"04/19/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"04/20/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"04/21/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"04/22/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"04/23/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"04/24/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"04/25/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"04/26/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","17","71.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"04/27/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"04/28/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"04/29/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"04/30/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"05/01/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"05/02/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"05/03/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"05/04/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"05/05/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"05/06/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"05/07/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
